Wavelength [nm]	Responsivity (normalized)
350	0.390343
351	0.388793
352	0.387318
353	0.386009
354	0.384981
355	0.384348
356	0.384166
357	0.384451
358	0.385196
359	0.386373
360	0.387961
361	0.389933
362	0.392252
363	0.394877
364	0.397783
365	0.400948
366	0.404329
367	0.407864
368	0.411469
369	0.415039
370	0.418496
371	0.421787
372	0.424897
373	0.427859
374	0.430778
375	0.433804
376	0.437055
377	0.440596
378	0.444421
379	0.448479
380	0.452723
381	0.457122
382	0.46167
383	0.466353
384	0.471135
385	0.47597
386	0.480816
387	0.485633
388	0.490357
389	0.494918
390	0.499264
391	0.503371
392	0.50722
393	0.510793
394	0.514078
395	0.517089
396	0.519878
397	0.522533
398	0.525172
399	0.527896
400	0.530752
401	0.533735
402	0.536788
403	0.539847
404	0.542862
405	0.545824
406	0.548775
407	0.551779
408	0.554872
409	0.558062
410	0.561328
411	0.564634
412	0.567935
413	0.571165
414	0.574269
415	0.577219
416	0.58
417	0.582621
418	0.585092
419	0.58741
420	0.589536
421	0.591424
422	0.593063
423	0.594489
424	0.595753
425	0.596916
426	0.598045
427	0.599231
428	0.600585
429	0.602209
430	0.604182
431	0.606509
432	0.609116
433	0.611889
434	0.614716
435	0.617505
436	0.620203
437	0.622804
438	0.625327
439	0.627804
440	0.63024
441	0.63259
442	0.6348
443	0.636818
444	0.638607
445	0.640167
446	0.641511
447	0.642666
448	0.643659
449	0.64451
450	0.645222
451	0.645786
452	0.646194
453	0.646473
454	0.646701
455	0.646998
456	0.647476
457	0.648182
458	0.649078
459	0.650107
460	0.651227
461	0.652417
462	0.653686
463	0.655058
464	0.656552
465	0.658175
466	0.659917
467	0.661739
468	0.663592
469	0.665426
470	0.667198
471	0.668884
472	0.670484
473	0.672011
474	0.673485
475	0.674935
476	0.676382
477	0.677843
478	0.679329
479	0.680842
480	0.68239
481	0.683988
482	0.685654
483	0.687411
484	0.68927
485	0.691211
486	0.693195
487	0.695189
488	0.697181
489	0.699179
490	0.70119
491	0.703207
492	0.705206
493	0.707153
494	0.709015
495	0.710763
496	0.712405
497	0.714
498	0.715646
499	0.717447
500	0.719457
501	0.721646
502	0.723937
503	0.726241
504	0.728481
505	0.730609
506	0.732604
507	0.73447
508	0.736227
509	0.737927
510	0.739647
511	0.741457
512	0.743412
513	0.74554
514	0.747831
515	0.750239
516	0.752705
517	0.755186
518	0.757664
519	0.760134
520	0.762578
521	0.764959
522	0.76725
523	0.769447
524	0.77157
525	0.773649
526	0.775721
527	0.777807
528	0.779912
529	0.782021
530	0.784105
531	0.786136
532	0.788107
533	0.790032
534	0.791934
535	0.793825
536	0.795708
537	0.797583
538	0.799437
539	0.801226
540	0.802886
541	0.804355
542	0.805605
543	0.806652
544	0.807547
545	0.808354
546	0.80914
547	0.809952
548	0.8108
549	0.811648
550	0.812431
551	0.813094
552	0.813639
553	0.814151
554	0.814781
555	0.815702
556	0.817049
557	0.818858
558	0.82104
559	0.823425
560	0.825831
561	0.828132
562	0.830264
563	0.832179
564	0.833821
565	0.835098
566	0.835925
567	0.836298
568	0.836323
569	0.836101
570	0.835727
571	0.835297
572	0.834905
573	0.834646
574	0.834615
575	0.834907
576	0.835616
577	0.83681
578	0.838429
579	0.840331
580	0.842327
581	0.84427
582	0.846073
583	0.847712
584	0.849191
585	0.850525
586	0.851723
587	0.852778
588	0.85369
589	0.854474
590	0.855183
591	0.855888
592	0.856651
593	0.857507
594	0.858481
595	0.859586
596	0.860828
597	0.862205
598	0.863723
599	0.865412
600	0.867329
601	0.869533
602	0.872039
603	0.874792
604	0.877677
605	0.88055
606	0.883284
607	0.885812
608	0.888152
609	0.890405
610	0.892714
611	0.895212
612	0.897973
613	0.900991
614	0.90418
615	0.907405
616	0.910509
617	0.91335
618	0.915832
619	0.917906
620	0.919571
621	0.920864
622	0.921859
623	0.922656
624	0.923371
625	0.92409
626	0.924852
627	0.925649
628	0.926444
629	0.927192
630	0.927831
631	0.928304
632	0.92858
633	0.928697
634	0.928745
635	0.928829
636	0.92901
637	0.929291
638	0.929657
639	0.930096
640	0.930608
641	0.931189
642	0.931829
643	0.932517
644	0.93326
645	0.934079
646	0.935002
647	0.936055
648	0.937248
649	0.938572
650	0.940004
651	0.941518
652	0.943098
653	0.944758
654	0.94654
655	0.948463
656	0.950493
657	0.95254
658	0.954497
659	0.956298
660	0.95795
661	0.959535
662	0.961162
663	0.962912
664	0.964802
665	0.966805
666	0.968883
667	0.971006
668	0.973152
669	0.975305
670	0.97745
671	0.979557
672	0.981595
673	0.983537
674	0.985363
675	0.987071
676	0.988666
677	0.990145
678	0.991507
679	0.992745
680	0.993842
681	0.994786
682	0.995578
683	0.996247
684	0.996839
685	0.997393
686	0.997924
687	0.998415
688	0.99883
689	0.999135
690	0.999309
691	0.999341
692	0.999224
693	0.998962
694	0.998585
695	0.998138
696	0.997662
697	0.997164
698	0.996613
699	0.995954
700	0.995134
701	0.994132
702	0.992971
703	0.991713
704	0.990448
705	0.989271
706	0.988266
707	0.987487
708	0.986942
709	0.986589
710	0.986351
711	0.986135
712	0.985843
713	0.985399
714	0.984778
715	0.98401
716	0.983155
717	0.982255
718	0.981333
719	0.980403
720	0.979488
721	0.978608
722	0.977775
723	0.976988
724	0.976223
725	0.975434
726	0.974547
727	0.973494
728	0.972251
729	0.970852
730	0.969363
731	0.967835
732	0.966295
733	0.964754
734	0.963216
735	0.961664
736	0.960078
737	0.958455
738	0.956819
739	0.955202
740	0.953623
741	0.952099
742	0.950635
743	0.949222
744	0.947836
745	0.946456
746	0.945067
747	0.943663
748	0.942243
749	0.940811
750	0.939364
751	0.937899
752	0.936414
753	0.934925
754	0.933462
755	0.932087
756	0.930868
757	0.929849
758	0.929027
759	0.928335
760	0.927647
761	0.92683
762	0.925789
763	0.924486
764	0.922927
765	0.92115
766	0.919196
767	0.917101
768	0.914888
769	0.912582
770	0.910211
771	0.907816
772	0.905434
773	0.903087
774	0.900769
775	0.898436
776	0.896011
777	0.893404
778	0.89055
779	0.887441
780	0.884134
781	0.880752
782	0.877455
783	0.874399
784	0.871691
785	0.869365
786	0.867374
787	0.865605
788	0.863919
789	0.862194
790	0.860355
791	0.858375
792	0.856245
793	0.853952
794	0.851466
795	0.848735
796	0.84568
797	0.842224
798	0.838336
799	0.834087
800	0.82966
801	0.825321
802	0.821349
803	0.817936
804	0.815124
805	0.812808
806	0.810783
807	0.808818
808	0.806716
809	0.804346
810	0.801652
811	0.798646
812	0.795398
813	0.792005
814	0.788569
815	0.78517
816	0.781851
817	0.778618
818	0.775452
819	0.772332
820	0.769266
821	0.766284
822	0.763395
823	0.760563
824	0.757716
825	0.75477
826	0.751659
827	0.748359
828	0.744898
829	0.741336
830	0.737736
831	0.734136
832	0.730538
833	0.72692
834	0.72326
835	0.719553
836	0.715826
837	0.712114
838	0.708458
839	0.7049
840	0.701491
841	0.698264
842	0.695212
843	0.692268
844	0.689332
845	0.686305
846	0.683133
847	0.67981
848	0.676353
849	0.672782
850	0.669106
851	0.665304
852	0.661318
853	0.65704
854	0.652329
855	0.647066
856	0.641212
857	0.634895
858	0.628481
859	0.622574
860	0.617847
861	0.614595
862	0.61236
863	0.610654
864	0.609068
865	0.607281
866	0.605101
867	0.602467
868	0.599417
869	0.596051
870	0.592484
871	0.588832
872	0.585186
873	0.581609
874	0.578108
875	0.574637
876	0.571116
877	0.567467
878	0.563641
879	0.559636
880	0.555488
881	0.551258
882	0.547012
883	0.542814
884	0.538706
885	0.534704
886	0.530799
887	0.526966
888	0.523179
889	0.519419
890	0.515675
891	0.511949
892	0.508252
893	0.504603
894	0.501013
895	0.497464
896	0.493906
897	0.490287
898	0.486571
899	0.482751
900	0.478832
901	0.474819
902	0.470709
903	0.466501
904	0.462189
905	0.457784
906	0.453321
907	0.448859
908	0.44447
909	0.440213
910	0.436123
911	0.432212
912	0.42848
913	0.424915
914	0.421488
915	0.418155
916	0.414856
917	0.411526
918	0.408119
919	0.404615
920	0.401023
921	0.397375
922	0.393696
923	0.39
924	0.386293
925	0.382579
926	0.378864
927	0.375155
928	0.371465
929	0.367811
930	0.364214
931	0.360685
932	0.357224
933	0.35382
934	0.350443
935	0.347052
936	0.343601
937	0.340058
938	0.336409
939	0.332668
940	0.328867
941	0.32504
942	0.321211
943	0.317387
944	0.313566
945	0.309758
946	0.305979
947	0.302243
948	0.298568
949	0.294972
950	0.291473
951	0.28809
952	0.284834
953	0.281697
954	0.278642
955	0.275613
956	0.272549
957	0.269404
958	0.266153
959	0.262788
960	0.25932
961	0.255773
962	0.252176
963	0.248565
964	0.24497
965	0.241417
966	0.237914
967	0.234464
968	0.231073
969	0.227759
970	0.224546
971	0.221452
972	0.218477
973	0.215591
974	0.212745
975	0.209891
976	0.206996
977	0.204046
978	0.201041
979	0.197995
980	0.194934
981	0.191887
982	0.188882
983	0.18593
984	0.183031
985	0.180178
986	0.177362
987	0.174578
988	0.171821
989	0.16909
990	0.166382
991	0.163697
992	0.161038
993	0.158406
994	0.155803
995	0.153227
996	0.150674
997	0.148136
998	0.145606
999	0.143078
1000	0.140553
